requests,request-interval,request-popularity,bytes,delivery-time,hit-rate,nodes,contents,label
1,0,1,0,8,1,1,1,0
6,0.754,1,39.78417969,110.1666667,1,1,6,0
16541,4.562105877,0.741480076,18.0375137,64.12886943,0.33988852,10,9543,1
43,689.6405116,1,21.42126181,48.88372093,0.976744186,4,22,0
6,530.0426667,1,3.8046875,4.833333333,1,2,6,0
5,6526.7622,1,1.974609375,2.2,1,2,5,0
9,0.317,1,29.6672092,112.5555556,0.888888889,1,9,0
18,12.37483333,1,27.63178168,39,1,5,17,0
13,30.21546154,1,842.5613732,1069.076923,0.923076923,1,6,0
1,0,1,0,5,1,1,1,0
4,7002.88,1,0,2.25,1,3,1,0
6,1.908,1,2681.876302,1786,1,3,6,0
2,11345.0875,1,0,3,1,2,1,0
178,69.39105056,1,9.677597217,30.37640449,0.994382022,2,67,0
1,0,1,0,3,1,1,1,0
19,0.093368421,1,4.092927632,112.2631579,0.473684211,1,19,0
8,41.55575,1,10.31079102,8.625,1,2,7,0
8,2.56575,0.875,450.7202148,450.5,0.5,1,8,0
1,0,1,0,2,1,1,1,0
7,46.665,1,26.46651786,36.85714286,1,1,6,0
188,77.04539894,0.095744681,2786.527079,1896.457447,0.154255319,4,169,0
69,129.0361304,1,5.02752774,9.173913043,1,2,27,0
106,2.478160377,1,29.63217681,288.6981132,1,1,106,0
1,0,1,0,2,1,1,1,0
20,12.6112,1,98.20981445,206.85,1,5,18,0
52,2.148384615,1,28.02065805,126.7115385,1,3,35,0
186,302.4019516,1,10.55880901,21.52688172,1,2,93,0
14,4.457,1,44.18359375,57.57142857,1,1,14,0
1,0,1,81.74707031,541,1,1,1,0
1,0,1,137.6005859,151,1,1,1,0
38,29.69442105,1,35.47157689,272.2105263,0.210526316,3,19,0
1,0,1,0,4,1,1,1,0
159,389.4077925,1,9.653909935,51.72955975,0.968553459,5,99,0
2,2563.9485,1,0,2,1,2,1,0
98,129.8611531,0.943877551,631.1309092,542.0918367,0.846938776,5,89,0
1,0,1,0,2,1,1,1,0
31,1111.679452,1,215.1278352,282.0967742,1,4,22,0
28,0.468428571,1,23.47342355,219.7142857,0.964285714,1,28,0
28,0.3165,1,23.47342355,164.6071429,0.964285714,1,28,0
9,0.086,1,29.6672092,51.77777778,0.888888889,1,9,0
17,9.160705882,1,136.3470244,79.11764706,1,2,14,0
34,1007.238324,1,27.14654182,65.20588235,1,5,24,0
1,0,1,9.356445313,38,0,1,1,0
6,467.3933333,1,652.9197591,689,1,2,4,0
240,191.8325667,0.9875,137.5527466,111,0.875,4,78,0
2,4296.8925,1,0,8.5,1,2,1,0
13201,5.682443072,0.883114916,609.837664,97.33565639,0.970532535,6,577,1
3,12209.09033,1,0,3.666666667,1,2,1,0
3524,21.32326536,0.516088207,0.715163867,142.0519518,0.104193116,4,2912,1
936,72.00494176,0.414624685,61.37341852,170.4048667,0.230968062,1,754,1
1836,22.82187283,0.614255096,237.959004,150.3138749,0.60887708,4,60,1
99,213.9727879,1,45.44033104,54.4040404,0.949494949,4,68,0
26,3.195653846,1,261.2935322,2215.192308,0.153846154,3,18,0
5,2739.8102,1,0,2.6,1,1,1,0
9,9.667666667,1,836.8395182,548.5555556,1,2,8,0
130,387.8200077,1,20.84079778,213.6692308,0.984615385,2,79,0
5,0.5142,1,0.82890625,8.8,0.8,1,5,0
9,0.422444444,1,29.6672092,58.55555556,0.888888889,1,9,0
1,0,1,0,4,1,1,1,0
18,1992.158778,1,29.05745443,66.22222222,1,5,11,0
1,0,1,0,2,1,1,1,0
1,0,1,0,2,1,1,1,0
1,0,1,0,9,1,1,1,0
1,0,1,0,3,1,1,1,0
1,0,1,0,7,1,1,1,0
97,57.28681443,1,24.14770256,56.17525773,0.989690722,2,96,0
11,21.35172727,1,1022.280629,14267,0.909090909,2,6,0
5,0.0018,1,0.325585938,3.2,1,1,5,0
13,2228.754231,1,2341.314603,514.7692308,1,2,13,0
188,384.9696383,0.994680851,71.74239008,53.05319149,0.941489362,6,75,0
27,7.998703704,1,57.3427011,11596.07407,0.925925926,1,26,0
1,0,1,0,2,1,1,1,0
13,20.55538462,1,55.59532752,324,1,4,13,0
41,19.5144878,1,387.0658584,368.0487805,0.975609756,2,35,0
1,0,1,0,2,1,1,1,0
178,14.93046629,0.985955056,15.13000351,366.0955056,0.971910112,1,153,0
49,1135.03698,1,2.916553731,20.04081633,0.959183673,4,46,0
51,171.3462941,1,9.509995404,17.33333333,0.921568627,2,47,0
2,551.743,1,0,18.5,1,2,1,0
9,54.19011111,1,0.611762153,34,1,2,8,0
1,0,1,0,4,1,1,1,0
1,0,1,21.46875,4,1,1,1,0
27,0.221296296,1,12.41963252,23.22222222,1,1,27,0
13,0.302692308,1,15.63867188,21.61538462,0.923076923,1,13,0
3,52.61733333,1,49.65429688,47.33333333,1,3,3,0
1,0,1,9.356445313,80,0,1,1,0
7,0.550142857,1,34.10072545,81.57142857,1,2,7,0
23,1462.215783,1,559.7749236,1913.086957,0.913043478,3,9,0
40,9.439625,0.975,24.59658203,35.05,0.975,2,15,0
1,0,1,0,3,1,1,1,0
53,44.03977358,1,3255.817401,22067.71698,1,3,45,0
173,222.0844509,1,24.80472137,88.69942197,0.895953757,7,56,0
1,0,0,230.3583984,415,0,1,1,0
225,11.61093778,0.991111111,55.66062066,325.3111111,0.995555556,5,139,0
9,0.092444444,1,29.6672092,19.22222222,0.888888889,1,9,0
1,0,1,0,3,1,1,1,0
11,0.043,1,172.911044,120.4545455,1,1,11,0
2,13223.9535,0.75,288.7089844,114.5,0.5,2,2,0
1,0,1,0,3,1,1,1,0
9,0.119555556,1,29.6672092,31.88888889,0.888888889,1,9,0
9,0.175666667,1,29.6672092,54.88888889,0.888888889,1,9,0
2473,25.73364434,0.773828457,41.75406277,23.91908573,0.148012217,6,172,1
58,342.2293448,1,21.24067214,111.362069,0.948275862,4,57,0
10,81.891,1,28.20332031,110.2,1,3,8,0
2,7293.6525,1,0,4,1,2,1,0
306,50.2799281,0.959150327,291.2431513,213.6437908,0.895424837,4,220,0
131,119.6683664,1,54.656086,69.9389313,0.992366412,3,125,0
10,1716.3566,1,26.70048828,45.5,0.9,1,10,0
64,10.83173438,0.9921875,141.7254639,409.125,0.96875,2,53,0
1,0,1,0,1,1,1,1,0
1,0,1,0,3,1,1,1,0
2,11478.72,1,0,2.5,1,2,1,0
31,1.846935484,1,48.78247858,196.7096774,1,1,31,0
6,0.159833333,1,26.71582031,166.8333333,0.833333333,1,6,0
2,875.583,1,4.678222656,24.5,0.5,2,2,0
1,0,1,0,5,1,1,1,0
36,4.215972222,1,35.35636393,27.88888889,0.972222222,3,34,0
91,124.5471648,1,21.8973107,38.12087912,0.934065934,5,50,0
90,4.450366667,1,16.98077257,110.3,1,2,83,0
11,0.126909091,0.818181818,29.74662642,75,0.727272727,1,11,0
1,0,1,0,3,1,1,1,0
13,2.256461538,1,2.571514423,2.461538462,1,1,13,0
6,3.596,1,10.67333984,13.5,1,1,6,0
18,823.4950556,1,29.6672092,49.27777778,0.888888889,1,9,0
7,0.691,1,0.702845982,44.85714286,1,1,7,0
4,83.0445,1,0,3,1,2,3,0
1,0,1,0,4,1,1,1,0
1,0,1,0,2,1,1,1,0
14,10.79071429,1,19.36725725,47,0.928571429,2,14,0
35,0.281228571,1,39.71503906,234.8285714,1,1,35,0
8,5422.470375,1,986.4349365,336.875,1,4,8,0
10,0.1095,1,43.96552734,133.9,1,2,10,0
1,0,1,0,4,1,1,1,0
29,1169.572724,1,66.84630927,90.27586207,0.965517241,3,16,0
2,8149.858,1,0,6,1,1,2,0
153,5.974248366,0.996732026,771.0999285,234.1960784,0.986928105,5,132,0
18,0.158,1,113.6223416,189.1666667,0.944444444,1,18,0
92,2.38848913,1,9.49863069,120.8804348,1,2,84,0
1,0,1,0,3,1,1,1,0
7,41.03828571,1,24.77078683,19.57142857,1,2,6,0
1,0,1,292.5332031,29,1,1,1,0
